source_path	decision	target	reason	chars_read
.github\agents\validate-schema.md	无需更新		仓库元文档或贡献规范，不进入站点正文	4270
.github\copilot-instructions.md	无需更新		仓库元文档或贡献规范，不进入站点正文	2827
.github\ISSUE_TEMPLATE\creator-portal-bug-report.md	无需更新		仓库元文档或贡献规范，不进入站点正文	911
.github\ISSUE_TEMPLATE\feature_request.md	无需更新		仓库元文档或贡献规范，不进入站点正文	595
.github\ISSUE_TEMPLATE\missing-content.md	无需更新		仓库元文档或贡献规范，不进入站点正文	592
creator\Casual\AddYourCatToMinecraft.md	无需更新		面向轻量活动的休闲内容，当前不属于站点核心收录范围	9044
creator\Casual\build-tower-defense.md	无需更新		面向轻量活动的休闲内容，当前不属于站点核心收录范围	16113
creator\Casual\ChillDreamsPart1TheDreamTurkey.md	无需更新		面向轻量活动的休闲内容，当前不属于站点核心收录范围	12781
creator\Casual\ChillDreamsPart2MakingDreamsComeTrue.md	无需更新		面向轻量活动的休闲内容，当前不属于站点核心收录范围	14465
creator\Casual\ChillDreamsPart3SmellsLikeMemories.md	无需更新		面向轻量活动的休闲内容，当前不属于站点核心收录范围	12644
creator\Casual\DebugTools.md	无需更新		面向轻量活动的休闲内容，当前不属于站点核心收录范围	9295
creator\Commands\commands\aimassist.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	973
creator\Commands\commands\allowlist.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1338
creator\Commands\commands\camera.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	10685
creator\Commands\commands\camerashake.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1944
creator\Commands\commands\changesetting.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1212
creator\Commands\commands\clear.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1247
creator\Commands\commands\clearspawnpoint.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1076
creator\Commands\commands\clone.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2982
creator\Commands\commands\controlscheme.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	939
creator\Commands\commands\damage.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2489
creator\Commands\commands\daylock.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	842
creator\Commands\commands\deop.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	879
creator\Commands\commands\dialogue.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1666
creator\Commands\commands\difficulty.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1226
creator\Commands\commands\effect.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2580
creator\Commands\commands\enchant.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	3095
creator\Commands\commands\event.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1059
creator\Commands\commands\execute.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	6334
creator\Commands\commands\fill.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	3131
creator\Commands\commands\fog.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1377
creator\Commands\commands\function.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	801
creator\Commands\commands\gamemode.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1475
creator\Commands\commands\gamerule.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	4494
creator\Commands\commands\gametest.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2257
creator\Commands\commands\give.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1243
creator\Commands\commands\help.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	6290
creator\Commands\commands\hud.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	2098
creator\Commands\commands\inputpermission.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1339
creator\Commands\commands\kick.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	976
creator\Commands\commands\kill.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	821
creator\Commands\commands\list.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	592
creator\Commands\commands\locate.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	4072
creator\Commands\commands\loot.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	85082
creator\Commands\commands\me.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	795
creator\Commands\commands\mobevent.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1384
creator\Commands\commands\music.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1720
creator\Commands\commands\op.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	820
creator\Commands\commands\packstack.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	819
creator\Commands\commands\particle.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	932
creator\Commands\commands\permission.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1029
creator\Commands\commands\place.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	23228
creator\Commands\commands\playanimation.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1459
creator\Commands\commands\playsound.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1549
creator\Commands\commands\project.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	813
creator\Commands\commands\recipe.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	104393
creator\Commands\commands\reload.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	693
creator\Commands\commands\reloadconfig.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	634
creator\Commands\commands\reloadpacketlimitconfig.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	637
creator\Commands\commands\replaceitem.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	3113
creator\Commands\commands\ride.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	3491
creator\Commands\commands\save.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	1064
creator\Commands\commands\say.md	无需更新		命令主题已由docs/docs与docs/refs命令分层覆盖	701
