source	relative_path	decision	action	target	title	reason	char_count
A	education/Administration/Best-Practices-for-Managing-Camps-and-Clubs.md	无需更新	none		How to Re-allocate licenses across your Camps and Clubs	教育版通用教学内容，当前无直接开发补丁	3728
A	education/Administration/FAQ-IT-Admin-Guide.md	无需更新	none		Important Links:	教育版通用教学内容，当前无直接开发补丁	17834
A	education/Administration/Location-of-World-Files.md	无需更新	none		Show hidden files	教育版通用教学内容，当前无直接开发补丁	3175
A	education/Administration/Minecraft-Education-End-User-License-Agreements-EULA.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1221
A	education/Administration/Sign-into-Minecraft-Education-with-Google-account-credentials.md	无需更新	none		Option 1: Use Minecraft Education Remember Me Feature	教育版通用教学内容，当前无直接开发补丁	13762
A	education/Administration/URLs-Used-by-Minecraft-Education.md	无需更新	none		List of all URLs used by Minecraft Education	教育版通用教学内容，当前无直接开发补丁	11354
A	education/Beta/Download-Minecraft-Education-Beta.md	无需更新	none		Prior to installation	教育版通用教学内容，当前无直接开发补丁	5962
A	education/Beta/MakeCode-Beta-Testing.md	无需更新	none		How to use the latest unreleased version of MakeCode	教育版通用教学内容，当前无直接开发补丁	1616
A	education/Beta/Minecraft-Education-Beta-program.md	无需更新	none		Frequency of Betas	教育版通用教学内容，当前无直接开发补丁	3760
A	education/Beta/Minecraft-Education-Preview-Program.md	无需更新	none		What is Minecraft Education Preview?	教育版通用教学内容，当前无直接开发补丁	3820
A	education/Beta/Preview-and-Beta-Test-Scenarios.md	无需更新	none		Scenarios	教育版通用教学内容，当前无直接开发补丁	1557
A	education/Community/Change-the-email-associated-with-my-profile.md	无需更新	none		Create a new profile	教育版通用教学内容，当前无直接开发补丁	1631
A	education/Community/How-to-Get-Support.md	无需更新	none		Search our Knowledge Base	教育版通用教学内容，当前无直接开发补丁	3807
A	education/Community/How-to-Set-Up-an-Account-and-Profile-in-the-Support-Center.md	无需更新	none		**Sign In**	教育版通用教学内容，当前无直接开发补丁	3996
A	education/Community/Minecraft-Education-Ambassador-Program.md	无需更新	none		What is a Minecraft Education Ambassador and how do I get the badge?	教育版通用教学内容，当前无直接开发补丁	2984
A	education/Community/Support-Center-Badges.md	无需更新	none		Support Center badges	教育版通用教学内容，当前无直接开发补丁	2745
A	education/Community/Support-Center-Guide.md	无需更新	none		Support Center Guidelines	教育版通用教学内容，当前无直接开发补丁	7210
A	education/Community/Support-Center-Guidelines.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1755
A	education/Community/Updates-to-the-profile-and-badge-experience.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1962
A	education/Game-Features/Accessibility-Features.md	无需更新	none		Accessibility settings for Minecraft Education	教育版通用教学内容，当前无直接开发补丁	6524
A	education/Game-Features/Adding-Non-Player-Characters-NPCs.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	6010
A	education/Game-Features/Assessment-Tools-Cameras-Portfolio-Book-Quill.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	5355
A	education/Game-Features/Classroom-Settings.md	无需更新	none		Classroom Settings	教育版通用教学内容，当前无直接开发补丁	6795
A	education/Game-Features/Cloud-Upload-and-Download.md	无需更新	none		Basic flow of feature:	教育版通用教学内容，当前无直接开发补丁	12703
A	education/Game-Features/Commands-in-Depth.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	6550
A	education/Game-Features/Communicating-With-Boards.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1949
A	education/Game-Features/Exporting-in-3D.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	4624
A	education/Game-Features/FAQ-Game-Features.md	无需更新	none		**How do Multiplayer Games function?**	教育版通用教学内容，当前无直接开发补丁	5980
A	education/Game-Features/Features-of-Minecraft-Education.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	5939
A	education/Game-Features/Managing-Projects-in-Code-Builder-for-MakeCode.md	无需更新	none		Save project to a file on the local machine	教育版通用教学内容，当前无直接开发补丁	3168
A	education/Game-Features/Profile-Types-and-Permissions.md	无需更新	none		**Multiplayer Safety Features, and who can join a world**	教育版通用教学内容，当前无直接开发补丁	9250
A	education/Game-Features/Touch-Controls-for-Minecraft-Education.md	无需更新	none		Game Controls	教育版通用教学内容，当前无直接开发补丁	2888
A	education/Game-Features/World-Management-for-iPad.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	3424
A	education/Get-Started/Country-Availability.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	787
A	education/Get-Started/Get-Started-with-Classroom-Mode.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	9391
A	education/Get-Started/Get-Started-with-the-Tutorial-World.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	296486
A	education/Get-Started/Getting-started-with-Minecraft-Education.md	无需更新	none		What is Minecraft Education?	教育版通用教学内容，当前无直接开发补丁	9690
A	education/Get-Started/Language-Availability.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1399
A	education/Get-Started/Learn-to-play-Minecraft-Education-video-playlist.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	506
A	education/Get-Started/Learn-to-play-Minecraft-Education.md	无需更新	none		First Steps	教育版通用教学内容，当前无直接开发补丁	3729
A	education/Get-Started/Multiplayer-Esports-and-Event-Technical-Considerations.md	无需更新	none		**Network Considerations**	教育版通用教学内容，当前无直接开发补丁	2839
A	education/Get-Started/No-Microsoft-365-No-problem.md	无需更新	none		Apply for free Office 365 Education and an Entra ID (formerly Azure AD) tenant for your school	教育版通用教学内容，当前无直接开发补丁	3212
A	education/Get-Started/Sign-Into-Minecraft-Education.md	无需更新	none		First-time sign into Minecraft Education	教育版通用教学内容，当前无直接开发补丁	2329
A	education/Get-Started/System-Requirements.md	无需更新	none		Changes made on February 17, 2026	教育版通用教学内容，当前无直接开发补丁	7290
A	education/Get-Started/Training-educators-in-Minecraft-Education.md	无需更新	none		In-person educator training	教育版通用教学内容，当前无直接开发补丁	3940
A	education/Get-Started/Try-Minecraft-Education-for-free.md	无需更新	none		Technical requirements	教育版通用教学内容，当前无直接开发补丁	5875
A	education/Get-Started/User-Privacy-and-Minecraft-Education.md	无需更新	none		Additional Resources	教育版通用教学内容，当前无直接开发补丁	2651
A	education/Get-Started/Why-Minecraft-Education.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1313
A	education/Hour-of-Code/FAQ-Hour-of-Code-and-the-Hour-of-AI.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	23556
A	education/Hour-of-Code/FAQ-Introducing-the-Hour-of-AI.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	4735
A	education/Hour-of-Code/History-of-Hour-of-Code.md	无需更新	none		2024	教育版通用教学内容，当前无直接开发补丁	7042
A	education/Hour-of-Code/Hour-of-AI-2025-The-First-Night.md	无需更新	none		**What is Hour of AI?**	教育版通用教学内容，当前无直接开发补丁	4047
A	education/Hour-of-Code/Hour-of-Code-2019-AI-for-Good-Known-Issues.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2404
A	education/Hour-of-Code/Hour-of-Code-2020-A-Tale-of-Two-Villages.md	无需更新	none		Lesson Overview	教育版通用教学内容，当前无直接开发补丁	2574
A	education/Hour-of-Code/Hour-of-Code-2020-Resources.md	无需更新	none		English	教育版通用教学内容，当前无直接开发补丁	2888
A	education/Hour-of-Code/Hour-of-Code-2021-Resources.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	15726
A	education/Hour-of-Code/Hour-of-Code-2021-Timecraft.md	无需更新	none		**Hour of Code 2021 (TimeCraft)**	教育版通用教学内容，当前无直接开发补丁	2582
A	education/Hour-of-Code/Hour-of-Code-2022-Escape-Estate-Lesson-Overview.md	无需更新	none		Welcome to the Hour of Code 2022: Escape Estate!	教育版通用教学内容，当前无直接开发补丁	2011
A	education/Hour-of-Code/Hour-of-Code-2023-Generation-AI.md	无需更新	none		**Welcome to the Hour of Code 2023: Generation AI!**	教育版通用教学内容，当前无直接开发补丁	2698
A	education/Hour-of-Code/Hour-of-Code-2024-The-Show-Must-Go-On.md	无需更新	none		**Welcome to the Hour of Code 2024: The Show Must Go On!**	教育版通用教学内容，当前无直接开发补丁	2626
A	education/Installation/Chromebook-Installation-Guide.md	无需更新	none		Before you begin	教育版通用教学内容，当前无直接开发补丁	3747
A	education/Installation/Clean-Reinstall-Minecraft-Education-on-PC.md	无需更新	none		Steps to perform a clean reinstall of Minecraft Education	教育版通用教学内容，当前无直接开发补丁	3825
A	education/Installation/Deploying-over-Group-Policy-via-PowerShell.md	无需更新	none		Before You Begin	教育版通用教学内容，当前无直接开发补丁	15255
A	education/Installation/iOS-Installation-Guide.md	无需更新	none		Before you begin	教育版通用教学内容，当前无直接开发补丁	1857
A	education/Installation/iPad-Deployment-Through-Mobile-Device-Management-System.md	无需更新	none		Additional resources	教育版通用教学内容，当前无直接开发补丁	1056
A	education/Installation/Mac-Deployment-Through-System-Management-Software.md	无需更新	none		Install Minecraft Education through macOS Deployment	教育版通用教学内容，当前无直接开发补丁	1296
A	education/Installation/Mac-Installation-Guide.md	无需更新	none		Before you begin	教育版通用教学内容，当前无直接开发补丁	1955
A	education/Installation/PC-Deployment-Through-System-Management-Software.md	无需更新	none		Intune for Education	教育版通用教学内容，当前无直接开发补丁	3237
A	education/Installation/Update-to-a-New-Version-of-Minecraft-Education.md	无需更新	none		Updating Minecraft Education on your devices	教育版通用教学内容，当前无直接开发补丁	4288
A	education/Installation/Windows-Installation-Guide.md	无需更新	none		Before you begin	教育版通用教学内容，当前无直接开发补丁	18465
A	education/License-Management/FAQ-Availability-Pricing-and-Licensing.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	6261
A	education/License-Management/License-Management-Options-for-Minecraft-Education.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2406
